Content,Dates,Bold,Italic,Short,AllCaps
blog,,0,0,0,0
 READ 2023,,0,0,0,1
 Soderbergh @ 2024-01-03,,0,0,0,0
aps,,0,0,0,0
 bold: MOVIE,,1,0,0,0
aps,,0,0,0,0
 bold,,0,0,0,0
 asterisk: SHORT*,,1,0,1,0
aps: TV SERIES,,0,0,0,0
cs: Book,,0,1,0,0
tion marks: “Play”,,0,0,0,0
cs,,0,0,0,0
 quotation marks: “Short Story”,,0,1,0,0
 BELOW DECK,01/01,0,0,0,1
 PRINCE ANDREW THE MUSICAL,01/01,0,0,0,1
 THE BEST OF COMEDY 2022,01/01,0,0,0,1
 Tomorrow,01/03,0,1,0,0
 and Tomorrow,01/03,0,0,0,0
 and Tomorrow,01/03,0,0,0,0
 THE FRENCH LIEUTENTANT’S WOMAN,01/03,1,0,0,1
 MADOFF: THE MONSTER OF WALL STREET (3),01/04,0,0,0,1
 ATHENA,01/05,1,0,0,1
 MADOFF: THE MONSTER OF WALL STREET,01/05,0,0,0,1
 BELOW DECK,01/06,0,0,0,1
 DATELINE,01/07,0,0,0,1
 BELOW DECK (3),01/07,0,0,0,1
 A SPY AMONG FRIENDS,01/07,0,0,0,1
 Think Like a Horse,01/08,0,1,0,0
 RUSSIA 1985-1999: TRAUMAZONE,01/08,0,0,0,1
 COPENHAGEN COWBOY,01/08,0,0,0,1
 BELOW DECK,01/09,0,0,0,1
 JIMI PLAYS MONTEREY,01/09,1,0,0,1
 Aesthetica,01/10,0,1,0,0
 THE WHALE,01/10,1,0,0,1
 COPENHAGEN COWBOY (2),01/11,0,0,0,1
 NO BEARS,01/11,1,0,0,1
 COPENHAGEN COWBOY (3),01/12,0,0,0,1
 A LIFE OF HER OWN,01/13,1,0,0,1
 BREAK POINT (5),01/13,0,0,0,1
 SAINT OMER,01/14,1,0,0,1
 SUPER LEAGUE: THE WAR FOR FOOTBALL,01/17,0,0,0,1
 BELOW DECK,01/18,0,0,0,1
 SUPER LEAGUE: THE WAR FOR FOOTBALL,01/18,0,0,0,1
 SUPER LEAGUE: THE WAR FOR FOOTBALL (2),01/19,0,0,0,1
 MISTER BUDDWINGS,01/20,1,0,0,1
 DIVINITY,01/21,1,0,0,1
 Gunk Baby,01/22,0,1,0,0
 The Netanyahus,01/22,0,1,0,0
 BELOW DECK,01/23,0,0,0,1
 American Caliph,01/26,0,1,0,0
 M3GAN,01/27,1,0,0,1
 INHERITANCE,01/28,1,0,0,1
 A SPY AMONG FRIENDS,01/28,0,0,0,1
 BELOW DECK,01/30,0,0,0,1
 7 DAYS OUT,01/30,1,0,0,1
 PUSSY ISLAND,01/31,1,0,0,1
 MAGAZINE DREAMS,01/31,1,0,0,1
 PAMELA:  A LOVE STORY,01/31,1,0,0,1
  THE ART OF THE STEAL,02/01,1,0,0,1
 NATE BARGATZE: HELLO WORLD,02/05,0,0,0,1
 BELOW DECK,02/06,0,0,0,1
  THE HITCH-HIKER ,02/06,1,0,0,1
(’53),02/06,0,0,0,0
 TOM SEGURA: BALL HOG,02/07,0,0,0,1
 HUNTERS ON A WHITE FIELD,02/08,1,0,0,1
 A SPY AMONG FRIENDS,02/10,0,0,0,1
 ALL I DESIRE,02/10,1,0,0,1
 DATELINE,02/10,0,0,0,1
 KIND HEARTS AND CORONETS,02/11,1,0,0,1
 PLANET OF THE APES,02/11,1,0,0,1
 (’68),02/11,0,0,0,0
 SUPER BOWL LVII,02/12,0,0,0,1
 FLAMINGO ROAD,02/17,1,0,0,1
 Nobody’s Perfect,02/18,0,1,0,0
 BELOW DECK,02/18,0,0,0,1
 My Nemesis,02/20,0,1,0,0
 FULL SWING,02/20,0,0,0,1
 BELOW DECK,02/21,0,0,0,1
 FULL SWING (5),02/21,0,0,0,1
 A SPY AMONG FRIENDS,02/23,0,0,0,1
 The Guest Lecture,02/25,0,1,0,0
 A SPY AMONG FRIENDS,02/25,0,0,0,1
 Big Swiss,02/26,0,1,0,0
 F1: DRIVE TO SURVIVE (3),02/26,0,0,0,1
 BELOW DECK,02/27,0,0,0,1
 The Shards,02/28,0,1,0,0
 NAUGHTY BOOKS,02/28,1,0,0,1
 I Have Some Questions For You,03/01,0,1,0,0
 The Laughter,03/02,0,1,0,0
 F1:DRIVE TO SURVIVE,03/03,0,0,0,1
 F1: DRIVE TO SURVIVE (2),03/04,0,0,0,1
 CASABLANCA,03/04,1,0,0,1
 CHRIS ROCK: SELECTIVE OUTRAGE,03/04,0,0,0,1
 7 DAYS OUT,03/05,0,0,0,1
 PHANTOM LADY,03/06,1,0,0,1
 BELOW DECK,03/06,0,0,0,1
 7 DAYS OUT,03/07,0,0,0,1
 WHO KILLED ROBERT WONE? (3),03/07,0,0,0,1
 MH370: THE PLANE THAT DISAPPEARED (3),03/10,0,0,0,1
 SIN EATER: THE CRIMES OF ANTHONY PELLICANO (2),03/11,0,0,0,1
 7 DAYS OUT,03/12,0,0,0,1
