Content,Dates,Bold,Italic,Short,AllCaps,Quoted,Year
/11,01/01,0,0,0,0,0,2011
/11 TMFU “The Special Sceptre Affair”,01/02,0,0,0,0,1,2011
 FUNERAL IN BERLIN,01/02,0,0,0,1,0,2011
/11 THE,01/03,0,0,0,1,0,2011
/11 TMFU “The Bow-Wow Affair”,01/05,0,0,0,0,1,2011
 “The Four,01/05,0,0,0,0,0,2011
/11 TMFU “The Brain-Killer Affair”,01/07,0,0,0,0,1,2011
/11 TMFU “The Hong Kong Shilling Affair”,01/08,0,0,0,0,1,2011
/11 TMFU “The Gazebo in the Maze Affair”,01/12,0,0,0,0,1,2011
 HAYWIRE,01/12,0,0,0,1,0,2011
/11 DAYS,01/16,0,0,0,1,0,2011
/11 TMFU “The Girls of Navarone Affair”,01/17,0,0,0,0,1,2011
/11 SENTIMENTAL EDUCATION,01/18,0,0,0,1,0,2011
 Gustave Flaubert,01/18,0,0,0,0,0,2011
/11 MY NAME IS RED,01/20,0,0,0,1,0,2011
 Orhan Pamuk,01/20,0,0,0,0,0,2011
 CHIMES AT,01/20,0,0,0,1,0,2011
/11 THE,01/21,0,0,0,1,0,2011
/11 ALL,01/22,0,0,0,1,0,2011
/11 END,01/23,0,0,0,1,0,2011
/11 Begin principal photography on EOTR doc,01/24,0,0,0,0,0,2011
/11 BURIED,01/26,0,0,0,1,0,2011
/11 HAYWIRE,01/28,0,0,0,1,0,2011
/11 THE,01/30,0,0,0,1,0,2011
/11 AN OBJECT OF BEAUTY,02/03,0,0,0,1,0,2011
 Steve Martin,02/03,0,0,0,0,0,2011
/11 DECEPTION,02/04,0,0,0,1,0,2011
/11 RIFIFI,02/05,0,0,0,1,0,2011
/11 ALL,02/17,0,0,0,1,0,2011
/11 THE,02/19,0,0,0,1,0,2011
/11 THE,02/20,0,0,0,1,0,2011
/11 SWEET,02/22,0,0,0,1,0,2011
/11 STAY,02/23,0,0,0,1,0,2011
/11 SE7EN,02/26,0,0,0,1,0,2011
/11 THE,03/01,0,0,0,1,0,2011
/11 CONTAGION,03/02,0,0,0,1,0,2011
/11 NETWORK,03/04,0,0,0,1,0,2011
/11 HEYDAY,03/05,0,0,0,1,0,2011
/11 THE,03/06,0,0,0,1,0,2011
/11 THE,03/08,0,0,0,1,0,2011
/11 IDIOCRACY,03/12,0,0,0,1,0,2011
/11 J.D.,03/13,0,0,0,1,0,2011
/11 HAYWIRE,03/18,0,0,0,1,0,2011
/11 WATTSTAX,03/19,0,0,0,1,0,2011
/11 REPORT,03/20,0,0,0,1,0,2011
/11 THE INFORMATION,03/23,0,0,0,1,0,2011
 James Gleick,03/23,0,0,0,0,0,2011
 SANJO THE,03/23,0,0,0,1,0,2011
/11 JANE,03/26,0,0,0,1,0,2011
/11 PAUL,03/27,0,0,0,1,0,2011
/11 IN COLD BLOOD,03/30,0,0,0,1,0,2011
 Truman Capote,03/30,0,0,0,0,0,2011
/11 THE THOUSAND AUTUMNS OF JACOB DE ZOET,04/03,0,0,0,1,0,2011
 David Mitchell,04/03,0,0,0,0,0,2011
